romance is a bonus book	/30894-romance-is-a-bonus-book	https://i.mydramalist.com/2xzkRs.jpg?v=1	8.1
coffee prince	/2982-coffee-prince	https://i.mydramalist.com/LwBY3s.jpg?v=1	8.3
reply 1988	/13544-reply-1988	https://i.mydramalist.com/EVe0p_4s.jpg?v=1	9.1
green rose	/27992-green-rose	https://i.mydramalist.com/LdxPrs.jpg?v=1	7.7
the miracle	/21759-the-miracle	https://i.mydramalist.com/wAEBYs.jpg?v=1	7.0
vacation	/2706-vacation	https://i.mydramalist.com/960ZPs.jpg?v=1	7.2
just fiancée	/726105-just-fianc-e	https://i.mydramalist.com/4ZnkQ_4s.jpg?v=1	6.9
waiting for you in the future	/30683-waiting-for-you-in-the-future	https://i.mydramalist.com/WQylDs.jpg?v=1	7.9
hiyama kentaro no ninshin	/696087-kentaro-hiyama-no-ninshin	https://i.mydramalist.com/jP0jB_4s.jpg?v=1	7.8
road number one	/665-road-number-one	https://i.mydramalist.com/aboE9s.jpg?v=1	7.9
"gomen, aishiteru"	/23146-gomen-aishiteru	https://i.mydramalist.com/kL5Wd_4s.jpg?v=1	7.8
fermentation family	/2989-fermentation-family	https://i.mydramalist.com/abOnYs.jpg?v=1	7.6
duang jai akkanee	/9869-duang-jai-akkanee	https://i.mydramalist.com/73Woes.jpg?v=1	7.8
strawberry night	/3142-strawberry-night-2012	https://i.mydramalist.com/40zdQs.jpg?v=1	8.0
the way we were	/23684-the-way-we-were	https://i.mydramalist.com/AYpX4s.jpg?v=1	7.5
eagles and youngster	/28725-eagles-and-youngster	https://i.mydramalist.com/AY5pLs.jpg?v=1	8.2
two fathers	/6424-two-fathers	https://i.mydramalist.com/W1zz3s.jpg?v=1	7.7
"it's not that i can't marry, but i don't want to"	/16681-its-not-that-i-cant-marry-but-i-dont-want-to	https://i.mydramalist.com/DXZQ5s.jpg?v=1	7.4
runaway - aisuru kimi no tame ni	/2981-runaway-aisuru-kimi-no-tame-ni	https://i.mydramalist.com/xXEWXs.jpg?v=1	8.0
wish woosh season 2	/53189-wish-woosh-2	https://i.mydramalist.com/ZrqbLs.jpg?v=1	7.5
royal family	/287-royal-family	https://i.mydramalist.com/rNq32s.jpg?v=1	7.0
the penthouse: hidden room - hidden story	/53535-penthouse	https://i.mydramalist.com/QyBA2_4s.jpg?v=1	8.7
miss chun is a litigator	/63089-mei-ren-mou-lu	https://i.mydramalist.com/RBBNBo_4s.jpg?v=1	7.7
prom mai dai likit	/26197-prom-mai-dai-likit	https://i.mydramalist.com/vQbJDs.jpg?v=1	7.5
ghost mama sousasen	/4719-ghost-mama-sousasen	https://i.mydramalist.com/nd6k6s.jpg?v=1	7.5
love of secret	/740801-love-of-secret	https://i.mydramalist.com/4Xr7J_4s.jpg?v=1	7.4
moonlight romance	/54783-moonlight-romance	https://i.mydramalist.com/R302Es.jpg?v=1	7.3
